bill,請求書
profit,利益
benefit,給付金
contract,契約
degree,学位
expense,費用
figure,数字
property,財産
demand,需要
interview,面接
notice,通知
statement,報告書
appointment,約束
insurance,保険
luggage,手荷物
opportunity,機会
tip,助言
equipment,装置
issue,問題
department,部
instrument,楽器
balance,残高
income,収入
supply,備品
rate,率
fare,運賃
complaint,不満
honor,光栄
vehicle,乗り物
instruction,使用 説明書
minute,議事録
position,職
produce,農産物
range,範囲
regulation,規則
author,著者
railing,手すり
fund,資金
quality,品質
agency,代理店
committee,委員会
function,機能
authority,権威
passenger,乗客
proposal,提案
drawer,引き出し
application,申し込み
branch,支店
customer,顧客
firm,会社
fuel,燃料
quarter,四半期
clerk,事務員
policy,保険契約
rent,賃貸 料
tour,視察
analysis,分析
crop,農作物
description,描写
fine,罰金
attitude,態度
audience,聴衆
option,選択
raise,賃上げ
amount,量
article,品物
fee,料金
attention,注意
detail,詳細
device,装置
item,品目
ladder,はしご
responsibility,責任
shelf,棚
signature,署名
term,条件
crew,乗務 員
permission,許可
traffic,交通
access,接近
cafeteria,食堂
respect,尊敬
suggestion,提案
method,方法
opening,欠員
account,口座
concern,懸念
performance,実績
agreement,協定
employee,従業員
measure,対策
discount,割引
institution,機関
material,材料
product,製品
stock,株
content,内容
interest,利息
broadcast,放送
fountain,噴水